,At Start,At Annual Assessment for Stayers,At Exit for Leavers
   MEDICAID,59,96,15
   MEDICARE,4,7,0
   State Children's Health Insurance ,2,7,0
  Veteran's Administration (VA) ,0,0,0
   Employer - Provided Health Insurance,0,0,0
  Health Insurance obtained through ,53,89,13
   Private Pay Health Insurance,0,0,0
   State Health Insurance for Adults,2,7,0
   Indian Health Services Program,0,0,0
   Other,0,0,0
   No Health Insurance,1,1,1
   Client Doesn't Know/Client Refused,0,0,0
   Data not Collected,0,0,0
   Number of Stayers not yet Required To ,0,9,0
   1 Source of Health Insurance,0,0,0
   More than 1 Source of Health Insurance,31,14,8
