,Income at Start,Income at Latest Annual Assessment for Stayers,Income at Exit for Leavers
   a. Earned income,0,0,0
   b. Unemployment insurance,0,0,0
   c. Supplemental Security Income (SSI),0,0,0
   d. Social Security Disability Insurance ,0,0,0
  e. VA service-connected disability compensation,0,0,0
   f. VA non-service-connected disability pension,0,0,0
   g. Private disability insurance,0,0,0
   h. Worker's compensation,0,0,0
  i. Temporary Assistance for Needy ,0,0,0
   j. General Assistance (GA),1,1,0
  k. Retirement Income from Social Security,0,0,0
  l. Pension or retirement income ,0,0,0
  m. Child support,0,0,0
  n. Alimony (spousal support),0,0,0
  o. Other source,0,0,0
"  p. Veterans with Income Information at Entry and Annual
Assessment/Exit",0,0,0
